date,split,model,factor_return
2013-09-01,test,EN,0.0043528943063008
2013-10-01,test,EN,0.0067354662949617
2013-11-01,test,EN,0.0061405874433144
2013-12-01,test,EN,-0.003391429439197
2014-01-01,test,EN,-0.010037978781429
2014-02-01,test,EN,-0.005426053994713
2014-03-01,test,EN,-0.0008241190109037
2014-04-01,test,EN,-0.0046728137978725
2014-05-01,test,EN,0.0021029349693798
2014-06-01,test,EN,-0.0039403326106727
2014-07-01,test,EN,0.0119566304960234
2014-08-01,test,EN,-0.0028574297235266
2014-09-01,test,EN,0.0071701550039615
2014-10-01,test,EN,0.0122424592877426
2014-11-01,test,EN,0.0001076351400525
2014-12-01,test,EN,-0.0138287691501059
2015-01-01,test,EN,0.0112483304635903
2015-02-01,test,EN,0.0067483914909688
2015-03-01,test,EN,0.0131473093794128
2015-04-01,test,EN,6.479557436621612e-05
2015-05-01,test,EN,0.0270294522109822
2015-06-01,test,EN,0.002110769896069
2015-07-01,test,EN,0.0141384655426664
2015-08-01,test,EN,0.0080995331405897
2015-09-01,test,EN,0.0242920393281697
2015-10-01,test,EN,0.0153100868688527
2015-11-01,test,EN,0.0085372858719657
2015-12-01,test,EN,0.0214294539465106
2016-01-01,test,EN,0.0158689277996678
2016-02-01,test,EN,0.0003690092797262
2016-03-01,test,EN,-0.0157057899096082
2016-04-01,test,EN,-0.0426214886969812
2016-05-01,test,EN,0.0300335435955652
2016-06-01,test,EN,0.0019565309000883
2016-07-01,test,EN,-0.0084260033071477
2016-08-01,test,EN,-0.0062489575536896
2016-09-01,test,EN,-0.0001559238345196
2016-10-01,test,EN,0.0140026416182568
2016-11-01,test,EN,0.0043571451000898
2016-12-01,test,EN,0.0006097853697479
1967-01-01,train,FFN,0.1028248896531114
1967-02-01,train,FFN,0.0202827486144476
1967-03-01,train,FFN,0.0382252805658766
1967-04-01,train,FFN,0.0178135670977514
1967-05-01,train,FFN,0.0054774809833611
1967-06-01,train,FFN,0.0405545276046272
1967-07-01,train,FFN,0.0479706962102316
1967-08-01,train,FFN,0.0157368158347138
1967-09-01,train,FFN,0.045387307679484
1967-10-01,train,FFN,0.0100969566999934
1967-11-01,train,FFN,0.0026882590522957
1967-12-01,train,FFN,0.0592713622021465
1968-01-01,train,FFN,0.0497367773766619
1968-02-01,train,FFN,-0.0209156924889893
1968-03-01,train,FFN,0.0022310356891987
1968-04-01,train,FFN,0.0724949642184223
1968-05-01,train,FFN,0.0488619249768189
1968-06-01,train,FFN,0.0321162220997571
1968-07-01,train,FFN,0.019218343084973
1968-08-01,train,FFN,0.0288046300707746
1968-09-01,train,FFN,0.027573792391298
1968-10-01,train,FFN,0.018724396922915
1968-11-01,train,FFN,0.0151172422745212
1968-12-01,train,FFN,0.0237054642608316
1969-01-01,train,FFN,0.0099652204262011
1969-02-01,train,FFN,0.0073905164658834
1969-03-01,train,FFN,0.0205469637933249
1969-04-01,train,FFN,0.005117533736576
1969-05-01,train,FFN,0.0140211037053234
1969-06-01,train,FFN,-0.0144405175552125
1969-07-01,train,FFN,-0.0021752081768039
1969-08-01,train,FFN,0.0283174039305847
1969-09-01,train,FFN,0.0073570160027847
1969-10-01,train,FFN,0.0169177036312215
1969-11-01,train,FFN,0.0250822831148409
1969-12-01,train,FFN,-0.0039747410694538
1970-01-01,train,FFN,0.0490511567278733
1970-02-01,train,FFN,0.0094889984701456
1970-03-01,train,FFN,0.0332020652359812
1970-04-01,train,FFN,0.0381616925746141
1970-05-01,train,FFN,-0.0001673647256408
1970-06-01,train,FFN,0.04360015642845
1970-07-01,train,FFN,0.0384385224988925
1970-08-01,train,FFN,0.0166331440161261
1970-09-01,train,FFN,-0.0080970923302335
1970-10-01,train,FFN,0.0617548628544575
1970-11-01,train,FFN,0.0160747494188235
1970-12-01,train,FFN,0.0537128050645352
1971-01-01,train,FFN,0.0917231471084228
1971-02-01,train,FFN,-0.0106851534255323
1971-03-01,train,FFN,0.0094820048039509
1971-04-01,train,FFN,0.0128151784969491
1971-05-01,train,FFN,-0.0099538728585875
1971-06-01,train,FFN,0.0086199423514754
1971-07-01,train,FFN,-0.0014375074966341
