feature,train_mean_raw,train_std_raw,train_mean_standardized,train_std_standardized,full_standardized_min,full_standardized_max
cf,-0.0003820312958333316,0.0026745664321947264,-2.2204460492503132e-17,1.0,-12.572267900847757,12.092469981870547
cf2p,-0.0005419998988500772,0.07627990578030934,-2.960594732333751e-17,0.9999999999999999,-5.093875300740396,8.549544323554217
cto,-0.001088324427463254,0.019454954401118513,2.4054832200211726e-17,0.9999999999999999,-10.927076639723847,4.941636879757861
d2a,0.0005055115587397951,0.009910030650401759,-4.4408920985006264e-17,0.9999999999999999,-14.68245105283103,12.44437328515239
d2p,-3.0291474999997497e-05,0.000316506286996606,5.3660779523549233e-17,1.0,-6.727485716651295,8.855784514100518
dpi2a,-0.0018363889413297626,0.1115987182255118,1.4802973661668754e-17,0.9999999999999999,-10.903535827929192,9.435404095490478
e2p,-0.0015412329983665281,0.08185047557113932,7.401486830834377e-18,1.0,-6.879913112160218,8.13318323596867
fc2y,0.0021837994320564233,0.0114059775338332,9.25185853854297e-18,1.0,-5.594225644252119,6.362522791462598
idiovol,0.0006676044193134093,0.17059026479504902,7.401486830834377e-18,1.0,-4.39775963729923,6.96632383706928
investment,-0.001121094411036636,0.11667775157659128,0.0,0.9999999999999999,-22.86702904402304,12.42949826433765
lev,-0.0018476523152868604,0.02774360743402713,1.1102230246251566e-17,1.0000000000000002,-13.116101659633642,5.132014026403302
lme,-0.00018291150988035849,0.11252341479189307,9.251858538542971e-19,1.0,-7.211736852287272,6.709776246814013
lt_rev,0.0015287569666666613,0.11311901541584221,5.181040781584064e-17,1.0,-5.378774600627005,3.500314412901799
lturnover,0.00382825494338535,0.20355296349215182,-9.251858538542971e-19,0.9999999999999999,-2.9136631678514564,2.8975907422924214
