feature,train_mean,train_std,safe_train_std,zero_std_feature
rna,-0.0017939920683163718,0.04294799652693133,0.04294799652693133,False
roa,-0.0033531286888295164,0.041759813258427765,0.041759813258427765,False
roe,-0.001820102277388945,0.03282229298042409,0.03282229298042409,False
s2p,0.00017772439984202655,0.08748515258570366,0.08748515258570366,False
sga2s,0.0018879290259424491,0.009774653767128043,0.009774653767128043,False
spread,0.0019376061459316877,0.08822118507495653,0.08822118507495653,False
st_rev,-6.326874999999915e-05,0.06665310229932772,0.06665310229932772,False
suv,-0.0076940672208333305,0.2042364502211436,0.2042364502211436,False
variance,0.000537426053837578,0.13792664208238672,0.13792664208238672,False
dp,-0.00031460787083332787,0.0441543771736896,0.0441543771736896,False
ep,-0.0006701911416666701,0.04718980675579624,0.04718980675579624,False
b/m,-0.0006183182610887151,0.044409585306235254,0.044409585306235254,False
ntis,-8.197847916666538e-05,0.003976333270909578,0.003976333270909578,False
tbl,1.2499999999996888e-06,0.0068638757349012616,0.0068638757349012616,False
tms,0.012907916666666665,0.01563372888958535,0.01563372888958535,False
dfy,2.5416666666666673e-05,0.0014127912064616874,0.0014127912064616874,False
svar,0.0033512182368978867,0.5662152343222179,0.5662152343222179,False
